field,value,n,p_rp,p_sft,gap_pp
a_type,person,820,0.0378,0.0244,1.34
a_type,date,427,0.1124,0.0843,2.81
a_type,other,234,0.094,0.0812,1.28
a_type,place,200,0.095,0.09,0.5
a_type,number,153,0.0523,0.0392,1.31
a_type,organization,88,0.1023,0.0795,2.27
a_type,title,66,0.0606,0.0455,1.52
a_type,event,12,0.0833,0.0833,0.0
q_type,who,861,0.043,0.029,1.39
q_type,when,426,0.1103,0.0798,3.05
q_type,what,324,0.0648,0.0586,0.62
q_type,where,172,0.0698,0.064,0.58
q_type,how,121,0.0579,0.0496,0.83
q_type,which,54,0.2593,0.1852,7.41
q_type,other,40,0.1,0.125,-2.5
q_type,why,2,0.0,0.0,0.0
specificity,single,1802,0.071,0.0566,1.44
specificity,multiple_valid,198,0.0707,0.0404,3.03
topic,pop_culture,874,0.0343,0.0195,1.49
topic,history,282,0.1099,0.0957,1.42
topic,sports,258,0.0969,0.0814,1.55
topic,science,188,0.133,0.0957,3.72
topic,politics,133,0.1053,0.0827,2.26
topic,other,107,0.0467,0.0561,-0.93
topic,geography,91,0.1099,0.0989,1.1
topic,literature,67,0.0299,0.0149,1.49
