field,value,n,rp_only,sft_only,both,neither,rp_only_frac,sft_only_frac
a_type,person,1272,6,6,7,1253,0.0047,0.0047
a_type,date,652,5,2,0,645,0.0077,0.0031
a_type,other,573,18,14,13,528,0.0314,0.0244
a_type,place,441,9,5,5,422,0.0204,0.0113
a_type,number,272,11,4,1,256,0.0404,0.0147
a_type,organization,147,5,4,5,133,0.034,0.0272
a_type,title,147,4,1,1,141,0.0272,0.0068
a_type,event,28,1,0,0,27,0.0357,0.0
q_type,who,1371,11,11,12,1337,0.008,0.008
q_type,what,756,24,14,15,703,0.0317,0.0185
q_type,when,663,7,2,0,654,0.0106,0.003
q_type,where,374,6,3,3,362,0.016,0.008
q_type,how,176,5,4,1,166,0.0284,0.0227
q_type,which,100,3,2,0,95,0.03,0.02
q_type,other,80,3,0,1,76,0.0375,0.0
q_type,why,12,0,0,0,12,0.0,0.0
specificity,single,2732,43,25,20,2644,0.0157,0.0092
specificity,multiple_valid,800,16,11,12,761,0.02,0.0138
topic,pop_culture,1350,5,3,5,1337,0.0037,0.0022
topic,history,485,7,4,2,472,0.0144,0.0082
topic,science,441,17,9,4,411,0.0385,0.0204
topic,sports,439,9,7,3,420,0.0205,0.0159
topic,politics,265,7,2,8,248,0.0264,0.0075
topic,geography,205,3,3,6,193,0.0146,0.0146
topic,other,203,7,5,4,187,0.0345,0.0246
topic,literature,144,4,3,0,137,0.0278,0.0208
